Job Titles,Department,Annual Salary
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,103524
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION,123660
TRAFFIC ENGINEER V,CHICAGO DEPT OF TRANSPORTATION,117840
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,85308
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
CAPTAIN,FIRE DEPARTMENT,138828
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE DEPARTMENT,121656
PARAMEDIC,FIRE DEPARTMENT,62466
FIREFIGHTER,FIRE DEPARTMENT,103914
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,74844
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,112848
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,56496
DIR OF PROGRAM OPERATIONS,CITY CLERK,94680
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC,FIRE DEPARTMENT,93252
PUBLIC HEALTH NURSE III,DEPARTMENT OF PUBLIC HEALTH,113496
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC,FIRE DEPARTMENT,108036
ASST TO THE COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION,103920
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC I/C,FIRE DEPARTMENT,101052
TRAFFIC ENFORCEMENT TECH,DEPARTMENT OF FINANCE,44544
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
PUBLIC HEALTH NURSE III,DEPARTMENT OF PUBLIC HEALTH,113496
CHIEF OPERATING ENGINEER,DEPT OF WATER MANAGEMENT,134888.04
PARAMEDIC I/C,FIRE DEPARTMENT,104430
DEPUTY FIRE COMMISSIONER,FIRE DEPARTMENT,202980
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,85308
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
PAYROLL ADMINISTRATOR - EXCLD,DEPT STREETS AND SANITATION,125088
CAPTAIN-EMT,FIRE DEPARTMENT,151764
EXECUTIVE DIR - POLICE BOARD,POLICE BOARD,117840
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
PARAMEDIC,FIRE DEPARTMENT,93252
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICY ANALYST,DEPT STREETS AND SANITATION,89532
FIREFIGHTER,FIRE DEPARTMENT,108036
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,69228
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
PROJECTS ADMINISTRATOR,FIRE DEPARTMENT,87432
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,129063.96
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,118830
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,75816
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
ASST TO THE COMMISSIONER,DEPARTMENT OF AVIATION,114012
MANAGING ENGINEER - WATER MANAGEMENT,DEPT OF WATER MANAGEMENT,126348
PROJECT MANAGER,FAMILY AND SUPPORT SERVICES,95616
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
PARAMEDIC,FIRE DEPARTMENT,103914
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC,FIRE DEPARTMENT,80448
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC I/C,FIRE DEPARTMENT,101052
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,98892
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,75816
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIELD SUPVSR I - PARKING ENFORCEMENT,DEPARTMENT OF FINANCE,68196
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,74844
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PROJECTS ADMINISTRATOR,DEPARTMENT OF AVIATION,94680
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,129834
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
ASST TO THE COMMISSIONER,DEPT OF WATER MANAGEMENT,90444
PARAMEDIC,FIRE DEPARTMENT,80448
PROJECT MANAGER,FAMILY AND SUPPORT SERVICES,95616
ACCESSIBILITY INSPECTOR,MAYORS OFFICE-DISABILITIES,77892
BRIDGE OPERATOR,CHICAGO DEPT OF TRANSPORTATION,77736
DETENTION AIDE,DEPARTMENT OF POLICE,86016
PROGRAM DIR,DEPT OF HOUSING,85452
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
LEGISLATIVE AIDE,CITY COUNCIL,22248
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
DETENTION AIDE,DEPARTMENT OF POLICE,68196
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
DETENTION AIDE,DEPARTMENT OF POLICE,65064
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC,FIRE DEPARTMENT,93252
PROJECT MANAGER,PUBLIC SAFETY ADMINISTRATION,100500
PROJECT MANAGER,DAIS,104580
FIREFIGHTER,FIRE DEPARTMENT,103914
DEPUTY CHIEF,DEPARTMENT OF POLICE,183984
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
DETENTION AIDE,DEPARTMENT OF POLICE,65064
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,108816
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,84468
ADMINISTRATIVE SERVICES OFFICER II EXCLD,DEPT STREETS AND SANITATION,86328
ALDERMAN,CITY COUNCIL,130248
PLUMBING INSPECTOR I/C,DEPT OF WATER MANAGEMENT,116178
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,90036
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
DETENTION AIDE,DEPARTMENT OF POLICE,65064
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
RECOVERY TEAM PROGRAM DIRECTOR,BUS AFFAIRS AND CONSUMER PROT,128856
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,43260
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
COMMANDER-EMT,FIRE DEPARTMENT,152412
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,82092
MANAGING DEPUTY COMMISSIONER,DEPARTMENT OF AVIATION,190044
FIREFIGHTER,FIRE DEPARTMENT,108036
SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,DEPARTMENT OF AVIATION,96252
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
PROJECTS ADMINISTRATOR,DEPT OF BUILDINGS,107748
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER,FIRE DEPARTMENT,103914
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,86016
FIELD SERVICE SPECIALIST II,CHICAGO DEPT OF TRANSPORTATION,73464
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
POLICY ANALYST,DEPT OF CULTURAL AFFAIRS,82368
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
PARAMEDIC I/C,FIRE DEPARTMENT,101052
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,78384
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECT MANAGER,DEPARTMENT OF AVIATION,99504
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
DETENTION AIDE,DEPARTMENT OF POLICE,62136
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERVICE WRITER,DAIS,93624
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,114654
ANIMAL CONTROL OFFICER,COMM ANIMAL CARE AND CONTROL,78384
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
DEPUTY CHIEF,DEPARTMENT OF POLICE,183984
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ASSOC CLASSIFICATION & COMP ANALYST,DEPARTMENT OF HUMAN RESOURCES,66228
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,129063.96
GENERAL SUPT OF STREETS AND SANITATION,DEPT STREETS AND SANITATION,128856
PROJECTS ADMINISTRATOR,DEPT OF BUILDINGS,105624
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
PROJECT MANAGER,DEPARTMENT OF PUBLIC HEALTH,85500
DETENTION AIDE,DEPARTMENT OF POLICE,86016
FIRE ENGINEER,FIRE DEPARTMENT,115308
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
CHIEF PROCUREMENT OFFICER,DEPARTMENT OF PROCUREMENT SERV,194676
PARAMEDIC,FIRE DEPARTMENT,96528
CAPTAIN-EMT,FIRE DEPARTMENT,151764
BATTALION CHIEF-PARAMEDIC,FIRE DEPARTMENT,169830
ASST TO THE ALDERMAN,CITY COUNCIL,64812
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
PARAMEDIC,FIRE DEPARTMENT,103914
DEPUTY DISTRICT CHIEF,FIRE DEPARTMENT,175464
PARAMEDIC,FIRE DEPARTMENT,80448
FIRE MARSHAL-EMT,FIRE DEPARTMENT,98904
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,74844
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
DETENTION AIDE,DEPARTMENT OF POLICE,74844
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
PARAMEDIC I/C,FIRE DEPARTMENT,104430
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,54072
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,55932
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,71448
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
FIELD SERVICE SPECIALIST II,CHICAGO DEPT OF TRANSPORTATION,102696
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
DIR OF NEWS AFFAIRS,FIRE DEPARTMENT,140976
COMMANDER,DEPARTMENT OF POLICE,175944
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,76122
DETENTION AIDE,DEPARTMENT OF POLICE,78384
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
CAPTAIN-EMT,FIRE DEPARTMENT,147258
DISTRICT CHIEF,FIRE DEPARTMENT,188124
COMMISSIONER OF FAMILY AND SUPPORT SERVICES,FAMILY AND SUPPORT SERVICES,194964
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,90036
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
CHIEF SYSTEMS PROGRAMMER,PUBLIC SAFETY ADMINISTRATION,126348
GENERAL MANAGER OF AIRPORT OPERATIONS,DEPARTMENT OF AVIATION,114384
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
GEN FOREMAN OF BRIDGE & STR IRON WRK,CHICAGO DEPT OF TRANSPORTATION,120660.84
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,98892
SHIFT SUPVSR OF AIRPORT GROUND TRANSPORTATION,DEPARTMENT OF AVIATION,82368
PARAMEDIC,FIRE DEPARTMENT,99876
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
LIEUTENANT,FIRE DEPARTMENT,127410
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PARAMEDIC I/C,FIRE DEPARTMENT,108096
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
PARAMEDIC I/C,FIRE DEPARTMENT,104430
LINEMAN - SALARIED,PUBLIC SAFETY ADMINISTRATION,117624
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
ADMINISTRATIVE ASST,OFFICE OF THE MAYOR,90624
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,71436
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,74844
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE DEPARTMENT,121656
ENTERPRISE SUPPORT MANAGER,DAIS,114384
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,94368
ZONING INVESTIGATOR,DEPARTMENT OF PLANNING AND DEVELOPMENT,97032
CAPTAIN-EMT,FIRE DEPARTMENT,151764
PARAMEDIC,FIRE DEPARTMENT,93252
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,85308
AMERICAN SIGN LANGUAGE INTERPRETER,MAYORS OFFICE-DISABILITIES,75720
RECOVERY TEAM PROGRAM MGR,DEPARTMENT OF PUBLIC HEALTH,105648
ADVANCE,OFFICE OF THE MAYOR,65928
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
EQUIPMENT TRAINING SPECIALIST / MTD,DEPARTMENT OF AVIATION,86340
PARAMEDIC,FIRE DEPARTMENT,96528
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
FIREFIGHTER,FIRE DEPARTMENT,99876
PARAMEDIC,FIRE DEPARTMENT,80448
FOREMAN OF TRAFFIC SIGNAL REPAIRMEN,CHICAGO DEPT OF TRANSPORTATION,129063.96
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
SUPVSR OF ACCOUNTING,DEPARTMENT OF FINANCE,111024
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
COORDINATING PLANNER,CHICAGO DEPT OF TRANSPORTATION,92820
PARAMEDIC I/C,FIRE DEPARTMENT,101052
PROJECT MANAGER,DEPARTMENT OF AVIATION,90084
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
FIREFIGHTER,FIRE DEPARTMENT,103914
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
GEN SUPT OF WATER MANAGEMENT,DEPT OF WATER MANAGEMENT,130152
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,101508
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
COMMANDER,DEPARTMENT OF POLICE,175944
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
ASST TO THE ALDERMAN,CITY COUNCIL,80784
LIEUTENANT,FIRE DEPARTMENT,127410
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
SANITATION CLERK,DEPT STREETS AND SANITATION,77736
PROJECTS ADMINISTRATOR,DEPARTMENT OF PUBLIC HEALTH,91896
PARAMEDIC,FIRE DEPARTMENT,93252
CAPTAIN,FIRE DEPARTMENT,138828
PARAMEDIC,FIRE DEPARTMENT,84612
PARAMEDIC I/C,FIRE DEPARTMENT,101052
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,68196
CAPTAIN-EMT,FIRE DEPARTMENT,147258
ANIMAL PLACEMENT COORD,COMM ANIMAL CARE AND CONTROL,63780
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT,FIRE DEPARTMENT,123420
SUPERVISING INVESTIGATOR-COPA,COPA,123540
ASST DIR OF NEWS AFFAIRS,CHICAGO DEPT OF TRANSPORTATION,108156
DIVISION SUPERINTENDENT,DEPT STREETS AND SANITATION,131064
FIREFIGHTER,FIRE DEPARTMENT,108036
FIREFIGHTER,FIRE DEPARTMENT,103914
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
STATION LABORER,DEPT OF WATER MANAGEMENT,48610.08
PARAMEDIC I/C,FIRE DEPARTMENT,120084
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,122274
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
COORDINATING PLANNER,DEPARTMENT OF PLANNING AND DEVELOPMENT,91896
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
MARINE PILOT - FIRE BOAT,FIRE DEPARTMENT,117193.92
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT,FIRE DEPARTMENT,123420
PROJECTS ADMINISTRATOR,DEPARTMENT OF AVIATION,99504
DIR OF ACCOUNTING,DEPARTMENT OF FINANCE,101580
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECT MANAGER,CITY CLERK,85716
DETENTION AIDE,DEPARTMENT OF POLICE,62136
EXEC ADMINISTRATIVE ASST II,POLICE BOARD,66804
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
DISTRICT CLERK,DEPT OF WATER MANAGEMENT,50664
SERVICE WRITER,DAIS,60996
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,134028
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
ALDERMAN,CITY COUNCIL,115800
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
FORENSIC FIREARM/EVIDENCE IDENT TECH,DEPARTMENT OF POLICE,117840
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
LIEUTENANT,FIRE DEPARTMENT,127410
LEGAL COUNSEL - BOARD OF ETHICS,BOARD OF ETHICS,108864
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION,102696
DEPUTY CHIEF,DEPARTMENT OF POLICE,183984
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
SR RECOVERY TEAM PROGRAM MGR,DEPT OF HOUSING,113244
SR ANALYST - MAYOR'S OFFICE,OFFICE OF THE MAYOR,86532
EXECUTIVE SECRETARY II - EXCLD,FAMILY AND SUPPORT SERVICES,55512
FIREFIGHTER-EMT,FIRE DEPARTMENT,114570
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,112668
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
AUTO POUND SUPVSR,DEPT STREETS AND SANITATION,112668
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
LIEUTENANT,FIRE DEPARTMENT,119580
FIREFIGHTER,FIRE DEPARTMENT,108036
FIRE ENGINEER,FIRE DEPARTMENT,112020
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,135684
ASSOCIATE STAFF ATTORNEY,IG,66840
ASST SUPT OF WATER METERS,DEPT OF WATER MANAGEMENT,107748
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
SUPERVISING SANITARIAN,DEPARTMENT OF PUBLIC HEALTH,103920
ASST DEPUTY CHIEF PARAMEDIC,FIRE DEPARTMENT,175464
ASST PROJECT DIR,CHICAGO DEPT OF TRANSPORTATION,98604
EQUIPMENT TRAINING SPECIALIST / MTD,DEPARTMENT OF AVIATION,86340
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
COORD OF SPECIAL PROJECTS,FAMILY AND SUPPORT SERVICES,114012
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
PROGRAM DIR,DEPARTMENT OF PUBLIC HEALTH,85452
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,74844
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
ASST TO THE ALDERMAN,CITY COUNCIL,92700
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
WATER RATE TAKER,DEPT OF WATER MANAGEMENT,70104
SUPVSR OF ANIMAL CONTROL OFFICERS,COMM ANIMAL CARE AND CONTROL,103524
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
PARAMEDIC I/C,FIRE DEPARTMENT,104430
FIRE ENGINEER,FIRE DEPARTMENT,112020
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
ASST TO THE EXEC DIR,DEPARTMENT OF POLICE,103920
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,151860
GENERAL FOREMAN OF LINEMEN,PUBLIC SAFETY ADMINISTRATION,137384.04
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECT COORD,DEPARTMENT OF PUBLIC HEALTH,73332
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
GENERAL MANAGER OF AIRPORT OPERATIONS,DEPARTMENT OF AVIATION,114384
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
